East Asia and Pacific,Eastern Europe and Central Asia,Eastern and Southern Africa,Europe and Central Asia,Latin America and Caribbean,Middle East and North Africa,North America,South Asia,Sub-Saharan Africa,West and Central Africa,Western Europe
1825983.153,418881.944,1564186.668,861343.083,682626.666,816424.949,457080.495,2525297.655,3086787.906,1522601.238,442461.139
1809783.014,418111.638,1576868.237,859388.453,679550.855,818859.216,457977.676,2522427.608,3111492.361,1534624.124,441276.815
1793558.397,417351.278,1589256.486,857486.825,676404.773,821218.012,458967.53,2519044.315,3135630.556,1546374.07,440135.547
1777329.031,416558.847,1601567.408,855561.697,673200.972,823465.148,459863.413,2515384.025,3159343.867,1557776.459,439002.85
1761112.122,415794.854,1613583.417,853687.895,669939.267,825579.362,460761.423,2511331.168,3182560.188,1568976.771,437893.041
1744883.155,415020.554,1625340.748,851816.918,666618.868,827633.695,461637.289,2507105.47,3205166.874,1579826.126,436796.364
1728743.268,414215.795,1636952.715,849918.639,663235.634,829659.116,462446.148,2502466.644,3227356.726,1590404.011,435702.844
1712716.599,413408.921,1648380.747,848034.133,659797.209,831551.756,463309.285,2497435.625,3249077.653,1600696.906,434625.212
1696802.129,412625.417,1659438.017,846196.404,656319.274,833334.037,464168.707,2492275.347,3270079.661,1610641.644,433570.987
1681047.378,411810.354,1670171.829,844354.201,652806.168,835056.402,465105.943,2486821.322,3290447.562,1620275.733,432543.847
1665402.13,410980.682,1680754.79,842488.471,649252.394,836704.813,465986.952,2481065.028,3310424.338,1629669.548,431507.789
1649933.407,410125.354,1691065.871,840598.821,645664.962,838206.915,466841.824,2475174.492,3329827.281,1638761.41,430473.467
1634609.66,409274.059,1701036.797,838745.119,642053.114,839698.938,467741.455,2469011.894,3348558.14,1647521.343,429471.06
1619399.762,408381.983,1710774.078,836862.88,638422.539,841088.801,468635.932,2462683.57,3366729.788,1655955.71,428480.897
1604301.594,407494.214,1720263.65,834998.291,634759.424,842390.263,469517.947,2456125.721,3384351.113,1664087.463,427504.077
1589315.584,406615.694,1729479.459,833140.449,631082.915,843512.529,470412.683,2449386.194,3401448.48,1671969.021,426524.755
1574431.246,405705.778,1738451.16,831219.621,627390.515,844602.355,471286.569,2442429.535,3417985.153,1679533.993,425513.843
1559625.097,404755.333,1747261.504,829239.272,623689.65,845546.65,472110.161,2435322.292,3434111.141,1686849.637,424483.939
1544928.646,403787.897,1755756.07,827228.31,619988.701,846381.648,472960.581,2428062.049,3449634.994,1693878.924,423440.413
1530293.98,402783.037,1764041.269,825196.233,616285.86,847139.525,473747.756,2420635.919,3464659.448,1700618.179,422413.196
1515740.229,401750.278,1772046.933,823100.259,612592.112,847793.485,474531.843,2413143.988,3479106.135,1707059.202,421349.981
1501267.252,400703.653,1779878.855,820958.82,608897.57,848336.186,475250.405,2405479.658,3493131.916,1713253.061,420255.167
